CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
46;CH;60181.0;A;;0;;0.70844;-0.23821;0.02167;AZUL;53;0
46;CH;60181.0;A;;0;;0.70844;-0.23821;0.02167;AMARELO;54;0
46;CH;60182.0;A;;0;;1.41931;0.48597;0.30167;BRANCO;55;0
46;CH;60185.0;A;;0;;1.40172;2.50064;0.26532;ROSA;56;0
46;CH;58938.0;B;;0;;2.21264;0.49351;0.16385;AZUL;69;0
46;CH;58938.0;B;;0;;2.21264;0.49351;0.16385;AMARELO;70;0
46;CH;58938.0;B;;0;;2.21264;0.49351;0.16385;BRANCO;71;0
46;CH;58938.0;B;;0;;2.21264;0.49351;0.16385;ROSA;72;0
47;CH;60182.0;A;;0;;1.41931;0.48597;0.30167;AZUL;53;0
47;CH;60182.0;A;;0;;1.41931;0.48597;0.30167;AMARELO;54;0
47;CH;60181.0;A;;0;;0.70844;-0.23821;0.02167;BRANCO;55;0
47;CH;60186.0;A;;0;;0.86791;0.29868;0.00083;ROSA;56;0
47;CH;58251.0;C;;0;;1.17622;0.63214;0.20609;AZUL;69;0
47;CH;58251.0;C;;0;;1.17622;0.63214;0.20609;AMARELO;70;0
47;CH;58251.0;C;;0;;1.17622;0.63214;0.20609;BRANCO;71;0
47;CH;58251.0;C;;0;;1.17622;0.63214;0.20609;ROSA;72;0
48;CH;60183.0;C;;0;;1.76944;1.54032;0.20404;AZUL;53;0
48;CH;60184.0;A;;0;;2.69518;2.55769;0.11948;AMARELO;54;0
48;CH;60183.0;C;;0;;1.76944;1.54032;0.20404;BRANCO;55;0
48;CH;60188.0;E;;0;;1.18998;1.61099;0.09065;ROSA;56;0
48;CH;58068.0;C;;0;;1.22035;-0.26715;0.149;AZUL;69;0
48;CH;58068.0;C;;0;;1.22035;-0.26715;0.149;AMARELO;70;0
48;CH;58068.0;C;;0;;1.22035;-0.26715;0.149;BRANCO;71;0
48;CH;58068.0;C;;0;;1.22035;-0.26715;0.149;ROSA;72;0
49;CH;60184.0;A;;0;;2.69518;2.55769;0.11948;AZUL;53;0
49;CH;60183.0;C;;0;;1.76944;1.54032;0.20404;AMARELO;54;0
49;CH;60184.0;A;;0;;2.69518;2.55769;0.11948;BRANCO;55;0
49;CH;60187.0;A;;0;;1.43883;1.32072;0.10075;ROSA;56;0
49;CH;58534.0;D;;0;;1.24302;0.05463;0.14673;AZUL;69;0
49;CH;58942.0;D;;0;;1.84502;0.34592;0.22276;AMARELO;70;0
49;CH;58534.0;D;;0;;1.24302;0.05463;0.14673;BRANCO;71;0
49;CH;58744.0;C;;0;;1.47937;0.65363;0.14448;ROSA;72;0
50;CH;60185.0;A;;0;;1.40172;2.50064;0.26532;AZUL;53;0
50;CH;60185.0;A;;0;;1.40172;2.50064;0.26532;AMARELO;54;0
50;CH;60186.0;A;;0;;0.86791;0.29868;0.00083;BRANCO;55;0
50;CH;60181.0;A;;0;;0.70844;-0.23821;0.02167;ROSA;56;0
50;CH;58942.0;D;;0;;1.84502;0.34592;0.22276;AZUL;69;0
50;CH;58534.0;D;;0;;1.24302;0.05463;0.14673;AMARELO;70;0
50;CH;58942.0;D;;0;;1.84502;0.34592;0.22276;BRANCO;71;0
50;CH;58942.0;D;;0;;1.84502;0.34592;0.22276;ROSA;72;0
51;CH;60186.0;A;;0;;0.86791;0.29868;0.00083;AZUL;53;0
51;CH;60186.0;A;;0;;0.86791;0.29868;0.00083;AMARELO;54;0
51;CH;60185.0;A;;0;;1.40172;2.50064;0.26532;BRANCO;55;0
51;CH;60182.0;A;;0;;1.41931;0.48597;0.30167;ROSA;56;0
51;CH;58744.0;C;;0;;1.47937;0.65363;0.14448;AZUL;69;0
51;CH;58744.0;C;;0;;1.47937;0.65363;0.14448;AMARELO;70;0
51;CH;58744.0;C;;0;;1.47937;0.65363;0.14448;BRANCO;71;0
51;CH;58534.0;D;;0;;1.24302;0.05463;0.14673;ROSA;72;0
52;CH;60187.0;A;;0;;1.43883;1.32072;0.10075;AZUL;53;0
52;CH;60188.0;E;;0;;1.18998;1.61099;0.09065;AMARELO;54;0
52;CH;60187.0;A;;0;;1.43883;1.32072;0.10075;BRANCO;55;0
52;CH;60184.0;A;;0;;2.69518;2.55769;0.11948;ROSA;56;0
52;CH;59197.0;B;;0;;1.31967;-0.12117;0.20178;AZUL;69;0
52;CH;59197.0;B;;0;;1.31967;-0.12117;0.20178;AMARELO;70;0
52;CH;59197.0;B;;0;;1.31967;-0.12117;0.20178;BRANCO;71;0
52;CH;59197.0;B;;0;;1.31967;-0.12117;0.20178;ROSA;72;0
53;CH;60188.0;E;;0;;1.18998;1.61099;0.09065;AZUL;53;0
53;CH;60187.0;A;;0;;1.43883;1.32072;0.10075;AMARELO;54;0
53;CH;60188.0;E;;0;;1.18998;1.61099;0.09065;BRANCO;55;0
53;CH;60183.0;C;;0;;1.76944;1.54032;0.20404;ROSA;56;0
53;CH;58087.0;E;;0;;2.56547;0.55481;0.2194;AZUL;69;0
53;CH;58245.0;A;;0;;1.51926;0.34501;0.12704;AMARELO;70;0
53;CH;58245.0;A;;0;;1.51926;0.34501;0.12704;BRANCO;71;0
53;CH;58087.0;E;;0;;2.56547;0.55481;0.2194;ROSA;72;0
54;CH;58533.0;E;;0;;0.9813;-0.8845;0.00725;AZUL;53;0
54;CH;58533.0;E;;0;;0.9813;-0.8845;0.00725;AMARELO;54;0
54;CH;58533.0;E;;0;;0.9813;-0.8845;0.00725;BRANCO;55;0
54;CH;58533.0;E;;0;;0.9813;-0.8845;0.00725;ROSA;56;0
54;CH;58245.0;A;;0;;1.51926;0.34501;0.12704;AZUL;69;0
54;CH;58087.0;E;;0;;2.56547;0.55481;0.2194;AMARELO;70;0
54;CH;58087.0;E;;0;;2.56547;0.55481;0.2194;BRANCO;71;0
54;CH;58245.0;A;;0;;1.51926;0.34501;0.12704;ROSA;72;0
55;CH;60189.0;A;;0;;2.29776;1.80107;0.1608;AZUL;53;0
55;CH;60189.0;A;;0;;2.29776;1.80107;0.1608;AMARELO;54;0
55;CH;60189.0;A;;0;;2.29776;1.80107;0.1608;BRANCO;55;0
55;CH;60189.0;A;;0;;2.29776;1.80107;0.1608;ROSA;56;0
55;CH;58527.0;C;;0;;1.21317;1.3403;0.15623;AZUL;69;0
55;CH;58527.0;C;;0;;1.21317;1.3403;0.15623;AMARELO;70;0
55;CH;58530.0;C;;0;;2.10707;0.35351;0.2347;BRANCO;71;0
55;CH;58530.0;C;;0;;2.10707;0.35351;0.2347;ROSA;72;0
56;CH;60190.0;D;;0;;0.7605;2.22704;0.15629;AZUL;53;0
56;CH;60191.0;D;;0;;1.50978;0.81631;0.19238;AMARELO;54;0
56;CH;60190.0;D;;0;;0.7605;2.22704;0.15629;BRANCO;55;0
56;CH;60191.0;D;;0;;1.50978;0.81631;0.19238;ROSA;56;0
56;CH;58530.0;C;;0;;2.10707;0.35351;0.2347;AZUL;69;0
56;CH;58530.0;C;;0;;2.10707;0.35351;0.2347;AMARELO;70;0
56;CH;58527.0;C;;0;;1.21317;1.3403;0.15623;BRANCO;71;0
56;CH;58527.0;C;;0;;1.21317;1.3403;0.15623;ROSA;72;0
57;CH;60191.0;D;;0;;1.50978;0.81631;0.19238;AZUL;53;0
57;CH;60190.0;D;;0;;0.7605;2.22704;0.15629;AMARELO;54;0
57;CH;60191.0;D;;0;;1.50978;0.81631;0.19238;BRANCO;55;0
57;CH;60190.0;D;;0;;0.7605;2.22704;0.15629;ROSA;56;0
57;CH;58759.0;A;;0;;1.60076;0.00932;0.12395;AZUL;69;0
57;CH;58759.0;A;;0;;1.60076;0.00932;0.12395;AMARELO;70;0
57;CH;58759.0;A;;0;;1.60076;0.00932;0.12395;BRANCO;71;0
57;CH;58759.0;A;;0;;1.60076;0.00932;0.12395;ROSA;72;0
58;CH;60192.0;B;;0;;2.92255;2.83048;0.22713;AZUL;53;0
58;CH;60192.0;B;;0;;2.92255;2.83048;0.22713;AMARELO;54;0
58;CH;60193.0;E;;0;;1.47286;0.2724;0.0619;BRANCO;55;0
58;CH;60192.0;B;;0;;2.92255;2.83048;0.22713;ROSA;56;0
58;CH;58760.0;A;;0;;1.31405;0.18227;0.07888;AZUL;69;0
58;CH;58760.0;A;;0;;1.31405;0.18227;0.07888;AMARELO;70;0
58;CH;58760.0;A;;0;;1.31405;0.18227;0.07888;BRANCO;71;0
58;CH;58715.0;E;;0;;2.00853;0.47951;0.30938;ROSA;72;0
59;CH;58536.0;B;;0;;1.20882;0.2252;0.08281;AZUL;53;0
59;CH;58536.0;B;;0;;1.20882;0.2252;0.08281;AMARELO;54;0
59;CH;58536.0;B;;0;;1.20882;0.2252;0.08281;BRANCO;55;0
59;CH;58536.0;B;;0;;1.20882;0.2252;0.08281;ROSA;56;0
59;CH;58100.0;D;;0;;2.51547;0.60177;0.23343;AZUL;69;0
59;CH;58715.0;E;;0;;2.00853;0.47951;0.30938;AMARELO;70;0
59;CH;58715.0;E;;0;;2.00853;0.47951;0.30938;BRANCO;71;0
59;CH;58760.0;A;;0;;1.31405;0.18227;0.07888;ROSA;72;0
60;CH;60193.0;E;;0;;1.47286;0.2724;0.0619;AZUL;53;0
60;CH;60194.0;E;;0;;1.72548;0.15231;0.27776;AMARELO;54;0
60;CH;60192.0;B;;0;;2.92255;2.83048;0.22713;BRANCO;55;0
60;CH;60195.0;D;;0;;2.34454;0.49237;0.12201;ROSA;56;0
60;CH;58715.0;E;;0;;2.00853;0.47951;0.30938;AZUL;69;0
60;CH;58100.0;D;;0;;2.51547;0.60177;0.23343;AMARELO;70;0
60;CH;58100.0;D;;0;;2.51547;0.60177;0.23343;BRANCO;71;0
60;CH;58100.0;D;;0;;2.51547;0.60177;0.23343;ROSA;72;0
61;CH;60194.0;E;;0;;1.72548;0.15231;0.27776;AZUL;53;0
61;CH;60193.0;E;;0;;1.47286;0.2724;0.0619;AMARELO;54;0
61;CH;60194.0;E;;0;;1.72548;0.15231;0.27776;BRANCO;55;0
61;CH;60196.0;E;;0;;1.15755;3.57444;0.30703;ROSA;56;0
61;CH;58273.0;B;;0;;1.50206;1.22002;0.16136;AZUL;69;0
61;CH;58273.0;B;;0;;1.50206;1.22002;0.16136;AMARELO;70;0
61;CH;58273.0;B;;0;;1.50206;1.22002;0.16136;BRANCO;71;0
61;CH;58273.0;B;;0;;1.50206;1.22002;0.16136;ROSA;72;0
62;CH;60195.0;D;;0;;2.34454;0.49237;0.12201;AZUL;53;0
62;CH;60195.0;D;;0;;2.34454;0.49237;0.12201;AMARELO;54;0
62;CH;60196.0;E;;0;;1.15755;3.57444;0.30703;BRANCO;55;0
62;CH;60194.0;E;;0;;1.72548;0.15231;0.27776;ROSA;56;0
62;CH;58276.0;C;;0;;1.75425;1.48017;0.20371;AZUL;69;0
62;CH;58276.0;C;;0;;1.75425;1.48017;0.20371;AMARELO;70;0
62;CH;58276.0;C;;0;;1.75425;1.48017;0.20371;BRANCO;71;0
62;CH;58276.0;C;;0;;1.75425;1.48017;0.20371;ROSA;72;0
63;CH;60196.0;E;;0;;1.15755;3.57444;0.30703;AZUL;53;0
63;CH;60196.0;E;;0;;1.15755;3.57444;0.30703;AMARELO;54;0
63;CH;60195.0;D;;0;;2.34454;0.49237;0.12201;BRANCO;55;0
63;CH;60193.0;E;;0;;1.47286;0.2724;0.0619;ROSA;56;0
63;CH;58542.0;A;;0;;1.42754;1.60842;0.22691;AZUL;69;0
63;CH;58271.0;A;;0;;1.95672;0.25621;0.17348;AMARELO;70;0
63;CH;58542.0;A;;0;;1.42754;1.60842;0.22691;BRANCO;71;0
63;CH;58542.0;B;;0;;1.42754;1.60842;0.22691;ROSA;72;0
64;CH;58083.0;B;;0;;1.53994;0.92357;0.16451;AZUL;53;0
64;CH;58083.0;B;;0;;1.53994;0.92357;0.16451;AMARELO;54;0
64;CH;58083.0;B;;0;;1.53994;0.92357;0.16451;BRANCO;55;0
64;CH;58083.0;B;;0;;1.53994;0.92357;0.16451;ROSA;56;0
64;CH;58271.0;A;;0;;1.95672;0.25621;0.17348;AZUL;69;0
64;CH;58542.0;A;;0;;1.42754;1.60842;0.22691;AMARELO;70;0
64;CH;58271.0;A;;0;;1.95672;0.25621;0.17348;BRANCO;71;0
64;CH;58271.0;A;;0;;1.95672;0.25621;0.17348;ROSA;72;0
65;CH;60197.0;A;;0;;1.34078;1.85222;0.17826;AZUL;53;0
65;CH;60197.0;A;;0;;1.34078;1.85222;0.17826;AMARELO;54;0
65;CH;60198.0;E;;0;;0.61109;1.32871;0.05748;BRANCO;55;0
65;CH;60200.0;C;;0;;2.97342;0.9563;0.20655;ROSA;56;0
65;CH;58284.0;C;;0;;3.44534;0.19578;0.20954;AZUL;69;0
65;CH;58119.0;E;;0;;3.34114;0.19387;0.2074;AMARELO;70;0
65;CH;58119.0;E;;0;;3.34114;0.19387;0.2074;BRANCO;71;0
65;CH;58284.0;C;;0;;3.44534;0.19578;0.20954;ROSA;72;0
66;CH;60198.0;E;;0;;0.61109;1.32871;0.05748;AZUL;53;0
66;CH;60198.0;E;;0;;0.61109;1.32871;0.05748;AMARELO;54;0
66;CH;60197.0;A;;0;;1.34078;1.85222;0.17826;BRANCO;55;0
66;CH;60198.0;E;;0;;0.61109;1.32871;0.05748;ROSA;56;0
66;CH;58119.0;E;;0;;3.34114;0.19387;0.2074;AZUL;69;0
66;CH;58284.0;C;;0;;3.44534;0.19578;0.20954;AMARELO;70;0
66;CH;58284.0;C;;0;;3.44534;0.19578;0.20954;BRANCO;71;0
66;CH;58119.0;E;;0;;3.34114;0.19387;0.2074;ROSA;72;0
67;CH;60199.0;D;;0;;1.22125;4.60999;0.13986;AZUL;53;0
67;CH;60200.0;C;;0;;2.97342;0.9563;0.20655;AMARELO;54;0
67;CH;60199.0;D;;0;;1.22125;4.60999;0.13986;BRANCO;55;0
67;CH;60197.0;A;;0;;1.34078;1.85222;0.17826;ROSA;56;0
67;CH;58246.0;E;;0;;1.51642;0.89389;0.1116;AZUL;69;0
67;CH;58246.0;E;;0;;1.51642;0.89389;0.1116;AMARELO;70;0
67;CH;58246.0;E;;0;;1.51642;0.89389;0.1116;BRANCO;71;0
67;CH;58246.0;E;;0;;1.51642;0.89389;0.1116;ROSA;72;0
68;CH;60200.0;C;;0;;2.97342;0.9563;0.20655;AZUL;53;0
68;CH;60199.0;D;;0;;1.22125;4.60999;0.13986;AMARELO;54;0
68;CH;60200.0;C;;0;;2.97342;0.9563;0.20655;BRANCO;55;0
68;CH;60199.0;D;;0;;1.22125;4.60999;0.13986;ROSA;56;0
68;CH;58061.0;B;;0;;0.70664;1.24735;0.15002;AZUL;69;0
68;CH;58061.0;B;;0;;0.70664;1.24735;0.15002;AMARELO;70;0
68;CH;58061.0;B;;0;;0.70664;1.24735;0.15002;BRANCO;71;0
68;CH;58061.0;B;;0;;0.70664;1.24735;0.15002;ROSA;72;0
69;CH;58520.0;E;;0;;0.86918;1.60413;0.03914;AZUL;53;0
69;CH;58520.0;E;;0;;0.86918;1.60413;0.03914;AMARELO;54;0
69;CH;58520.0;E;;0;;0.86918;1.60413;0.03914;BRANCO;55;0
69;CH;58520.0;E;;0;;0.86918;1.60413;0.03914;ROSA;56;0
69;CH;58970.0;D;;0;;2.175;1.10388;0.1833;AZUL;69;0
69;CH;58970.0;D;;0;;2.175;1.10388;0.1833;AMARELO;70;0
69;CH;58719.0;C;;0;;1.19559;1.44481;0.20943;BRANCO;71;0
69;CH;58893.0;D;;0;;2.49971;1.36519;0.1296;ROSA;72;0
70;CH;60201.0;B;;0;;1.91061;1.51306;0.25011;AZUL;53;0
70;CH;60201.0;B;;0;;1.91061;1.51306;0.25011;AMARELO;54;0
70;CH;60202.0;D;;0;;1.16335;1.6148;0.13595;BRANCO;55;0
70;CH;60201.0;B;;0;;1.91061;1.51306;0.25011;ROSA;56;0
70;CH;58719.0;C;;0;;1.19559;1.44481;0.20943;AZUL;69;0
70;CH;58719.0;C;;0;;1.19559;1.44481;0.20943;AMARELO;70;0
70;CH;58970.0;D;;0;;2.175;1.10388;0.1833;BRANCO;71;0
70;CH;58719.0;C;;0;;1.19559;1.44481;0.20943;ROSA;72;0
71;CH;60202.0;D;;0;;1.16335;1.6148;0.13595;AZUL;53;0
71;CH;60203.0;A;;0;;1.61443;1.05392;0.1859;AMARELO;54;0
71;CH;60201.0;B;;0;;1.91061;1.51306;0.25011;BRANCO;55;0
71;CH;60202.0;D;;0;;1.16335;1.6148;0.13595;ROSA;56;0
71;CH;58893.0;D;;0;;2.49971;1.36519;0.1296;AZUL;69;0
71;CH;58893.0;D;;0;;2.49971;1.36519;0.1296;AMARELO;70;0
71;CH;58893.0;D;;0;;2.49971;1.36519;0.1296;BRANCO;71;0
71;CH;58970.0;D;;0;;2.175;1.10388;0.1833;ROSA;72;0
72;CH;60203.0;A;;0;;1.61443;1.05392;0.1859;AZUL;53;0
72;CH;60202.0;D;;0;;1.16335;1.6148;0.13595;AMARELO;54;0
72;CH;60204.0;D;;0;;2.18094;1.69583;0.20318;BRANCO;55;0
72;CH;60203.0;A;;0;;1.61443;1.05392;0.1859;ROSA;56;0
72;CH;57820.0;D;;0;;1.83652;1.5799;0.162;AZUL;69;0
72;CH;57820.0;D;;0;;1.83652;1.5799;0.162;AMARELO;70;0
72;CH;57820.0;D;;0;;1.83652;1.5799;0.162;BRANCO;71;0
72;CH;57820.0;D;;0;;1.83652;1.5799;0.162;ROSA;72;0
73;CH;60204.0;D;;0;;2.18094;1.69583;0.20318;AZUL;53;0
73;CH;60204.0;D;;0;;2.18094;1.69583;0.20318;AMARELO;54;0
73;CH;60203.0;A;;0;;1.61443;1.05392;0.1859;BRANCO;55;0
73;CH;60204.0;D;;0;;2.18094;1.69583;0.20318;ROSA;56;0
73;CH;58717.0;D;;0;;1.30538;1.54158;0.14049;AZUL;69;0
73;CH;58717.0;D;;0;;1.30538;1.54158;0.14049;AMARELO;70;0
73;CH;58717.0;D;;0;;1.30538;1.54158;0.14049;BRANCO;71;0
73;CH;58717.0;D;;0;;1.30538;1.54158;0.14049;ROSA;72;0
74;CH;58114.0;C;;0;;1.31028;0.64712;0.19019;AZUL;53;0
74;CH;58114.0;C;;0;;1.31028;0.64712;0.19019;AMARELO;54;0
74;CH;58114.0;C;;0;;1.31028;0.64712;0.19019;BRANCO;55;0
74;CH;58114.0;C;;0;;1.31028;0.64712;0.19019;ROSA;56;0
74;CH;57767.0;C;;0;;2.10289;0.92426;0.21213;AZUL;69;0
74;CH;58935.0;B;;0;;1.12725;0.85157;0.17454;AMARELO;70;0
74;CH;58935.0;B;;0;;1.12725;0.85157;0.17454;BRANCO;71;0
74;CH;57767.0;C;;0;;2.10289;0.92426;0.21213;ROSA;72;0
75;CH;60205.0;C;;0;;2.07392;0.78247;0.15327;AZUL;53;0
75;CH;60205.0;C;;0;;2.07392;0.78247;0.15327;AMARELO;54;0
75;CH;60205.0;C;;0;;2.07392;0.78247;0.15327;BRANCO;55;0
75;CH;60205.0;C;;0;;2.07392;0.78247;0.15327;ROSA;56;0
75;CH;58935.0;B;;0;;1.12725;0.85157;0.17454;AZUL;69;0
75;CH;57767.0;C;;0;;2.10289;0.92426;0.21213;AMARELO;70;0
75;CH;57767.0;C;;0;;2.10289;0.92426;0.21213;BRANCO;71;0
75;CH;58935.0;B;;0;;1.12725;0.85157;0.17454;ROSA;72;0
76;CH;60206.0;C;;0;;2.37045;1.38095;0.15167;AZUL;53;0
76;CH;60206.0;C;;0;;2.37045;1.38095;0.15167;AMARELO;54;0
76;CH;60206.0;C;;0;;2.37045;1.38095;0.15167;BRANCO;55;0
76;CH;60206.0;C;;0;;2.37045;1.38095;0.15167;ROSA;56;0
76;CH;58109.0;D;;0;;1.30149;0.90306;0.14871;AZUL;69;0
76;CH;58109.0;D;;0;;1.30149;0.90306;0.14871;AMARELO;70;0
76;CH;58109.0;D;;0;;1.30149;0.90306;0.14871;BRANCO;71;0
76;CH;58109.0;D;;0;;1.30149;0.90306;0.14871;ROSA;72;0
77;CH;60207.0;B;;0;;1.30178;1.74245;0.15235;AZUL;53;0
77;CH;60207.0;B;;0;;1.30178;1.74245;0.15235;AMARELO;54;0
77;CH;60207.0;B;;0;;1.30178;1.74245;0.15235;BRANCO;55;0
77;CH;60207.0;B;;0;;1.30178;1.74245;0.15235;ROSA;56;0
77;CH;58902.0;E;;0;;2.2234;1.30763;0.10989;AZUL;69;0
77;CH;58902.0;E;;0;;2.2234;1.30763;0.10989;AMARELO;70;0
77;CH;58902.0;E;;0;;2.2234;1.30763;0.10989;BRANCO;71;0
77;CH;58902.0;E;;0;;2.2234;1.30763;0.10989;ROSA;72;0
78;CH;60208.0;A;;0;;2.44222;0.75536;0.19707;AZUL;53;0
78;CH;60208.0;A;;0;;2.44222;0.75536;0.19707;AMARELO;54;0
78;CH;60208.0;A;;0;;2.44222;0.75536;0.19707;BRANCO;55;0
78;CH;60208.0;A;;0;;2.44222;0.75536;0.19707;ROSA;56;0
78;CH;60080.0;D;;0;;1.87162;1.98225;0.17273;AZUL;69;0
78;CH;60080.0;D;;0;;1.87162;1.98225;0.17273;AMARELO;70;0
78;CH;58871.0;A;;0;;2.70795;2.03813;0.18765;BRANCO;71;0
78;CH;58871.0;A;;0;;2.70795;2.03813;0.18765;ROSA;72;0
79;CH;58778.0;D;;0;;1.95882;0.4439;0.24409;AZUL;53;0
79;CH;58778.0;D;;0;;1.95882;0.4439;0.24409;AMARELO;54;0
79;CH;58778.0;D;;0;;1.95882;0.4439;0.24409;BRANCO;55;0
79;CH;58778.0;D;;0;;1.95882;0.4439;0.24409;ROSA;56;0
79;CH;58300.0;D;;0;;1.2184;1.86605;0.12589;AZUL;69;0
79;CH;58871.0;A;;0;;2.70795;2.03813;0.18765;AMARELO;70;0
79;CH;58300.0;D;;0;;1.2184;1.86605;0.12589;BRANCO;71;0
79;CH;58300.0;D;;0;;1.2184;1.86605;0.12589;ROSA;72;0
80;CH;60209.0;B;;0;;1.77759;1.86916;0.20452;AZUL;53;0
80;CH;60209.0;B;;0;;1.77759;1.86916;0.20452;AMARELO;54;0
80;CH;60209.0;B;;0;;1.77759;1.86916;0.20452;BRANCO;55;0
80;CH;60210.0;E;;0;;2.57266;1.03065;0.19557;ROSA;56;0
80;CH;58871.0;A;;0;;2.70795;2.03813;0.18765;AZUL;69;0
80;CH;58300.0;D;;0;;1.2184;1.86605;0.12589;AMARELO;70;0
80;CH;60080.0;D;;0;;1.87162;1.98225;0.17273;BRANCO;71;0
80;CH;60080.0;D;;0;;1.87162;1.98225;0.17273;ROSA;72;0
81;CH;60210.0;E;;0;;2.57266;1.03065;0.19557;AZUL;53;0
81;CH;60211.0;A;;0;;2.29066;1.64824;0.11627;AMARELO;54;0
81;CH;60210.0;E;;0;;2.57266;1.03065;0.19557;BRANCO;55;0
81;CH;60209.0;B;;0;;1.77759;1.86916;0.20452;ROSA;56;0
81;CH;58086.0;A;;0;;2.17144;1.01514;0.15421;AZUL;69;0
81;CH;58086.0;A;;0;;2.17144;1.01514;0.15421;AMARELO;70;0
81;CH;58086.0;A;;0;;2.17144;1.01514;0.15421;BRANCO;71;0
81;CH;58086.0;A;;0;;2.17144;1.01514;0.15421;ROSA;72;0
82;CH;60211.0;A;;0;;2.29066;1.64824;0.11627;AZUL;53;0
82;CH;60210.0;E;;0;;2.57266;1.03065;0.19557;AMARELO;54;0
82;CH;60211.0;A;;0;;2.29066;1.64824;0.11627;BRANCO;55;0
82;CH;60211.0;A;;0;;2.29066;1.64824;0.11627;ROSA;56;0
82;CH;57759.0;D;;0;;2.04623;1.41682;0.13358;AZUL;69;0
82;CH;57759.0;D;;0;;2.04623;1.41682;0.13358;AMARELO;70;0
82;CH;57759.0;D;;0;;2.04623;1.41682;0.13358;BRANCO;71;0
82;CH;57759.0;D;;0;;2.04623;1.41682;0.13358;ROSA;72;0
83;CH;60212.0;E;;0;;1.72838;1.45567;0.17309;AZUL;53;0
83;CH;60212.0;E;;0;;1.72838;1.45567;0.17309;AMARELO;54;0
83;CH;60212.0;E;;0;;1.72838;1.45567;0.17309;BRANCO;55;0
83;CH;60212.0;E;;0;;1.72838;1.45567;0.17309;ROSA;56;0
83;CH;58761.0;C;;0;;1.82041;2.26986;0.20371;AZUL;69;0
83;CH;58876.0;D;;0;;1.67318;3.38972;0.21839;AMARELO;70;0
83;CH;58875.0;E;;0;;3.0483;2.15615;0.12306;BRANCO;71;0
83;CH;58875.0;E;;0;;3.0483;2.15615;0.12306;ROSA;72;0
84;CH;58726.0;C;;0;;2.64231;1.13516;0.19219;AZUL;53;0
84;CH;58726.0;C;;0;;2.64231;1.13516;0.19219;AMARELO;54;0
84;CH;58726.0;C;;0;;2.64231;1.13516;0.19219;BRANCO;55;0
84;CH;58726.0;C;;0;;2.64231;1.13516;0.19219;ROSA;56;0
84;CH;58876.0;D;;0;;1.67318;3.38972;0.21839;AZUL;69;0
84;CH;58761.0;C;;0;;1.82041;2.26986;0.20371;AMARELO;70;0
84;CH;58876.0;D;;0;;1.67318;3.38972;0.21839;BRANCO;71;0
84;CH;58761.0;C;;0;;1.82041;2.26986;0.20371;ROSA;72;0
85;CH;60215.0;D;;0;;2.07233;1.55811;0.13524;AZUL;53;0
85;CH;60217.0;D;;0;;0.78346;0.5514;0.37795;AMARELO;54;0
85;CH;60215.0;D;;0;;2.07233;1.55811;0.13524;BRANCO;55;0
85;CH;60224.0;E;;0;;1.30667;1.60044;0.162;ROSA;56;0
85;CH;58875.0;E;;0;;3.0483;2.15615;0.12306;AZUL;69;0
85;CH;58875.0;E;;0;;3.0483;2.15615;0.12306;AMARELO;70;0
85;CH;58761.0;C;;0;;1.82041;2.26986;0.20371;BRANCO;71;0
85;CH;58876.0;D;;0;;1.67318;3.38972;0.21839;ROSA;72;0
86;CH;60217.0;D;;0;;0.78346;0.5514;0.37795;AZUL;53;0
86;CH;60215.0;D;;0;;2.07233;1.55811;0.13524;AMARELO;54;0
86;CH;60217.0;D;;0;;0.78346;0.5514;0.37795;BRANCO;55;0
86;CH;60223.0;E;;0;;2.29329;2.06699;0.17413;ROSA;56;0
86;CH;58288.0;D;;0;;1.59729;2.46153;0.19037;AZUL;69;0
86;CH;58288.0;D;;0;;1.59729;2.46153;0.19037;AMARELO;70;0
86;CH;58288.0;D;;0;;1.59729;2.46153;0.19037;BRANCO;71;0
86;CH;58288.0;D;;0;;1.59729;2.46153;0.19037;ROSA;72;0
87;CH;60219.0;B;;0;;2.48756;1.71943;0.16899;AZUL;53;0
87;CH;60219.0;B;;0;;2.48756;1.71943;0.16899;AMARELO;54;0
87;CH;60219.0;B;;0;;2.48756;1.71943;0.16899;BRANCO;55;0
87;CH;60225.0;D;;0;;0.78917;1.22871;0.1937;ROSA;56;0
87;CH;57804.0;D;;0;;1.21526;1.90971;0.17363;AZUL;69;0
87;CH;57804.0;D;;0;;1.21526;1.90971;0.17363;AMARELO;70;0
87;CH;57804.0;D;;0;;1.21526;1.90971;0.17363;BRANCO;71;0
87;CH;57804.0;D;;0;;1.21526;1.90971;0.17363;ROSA;72;0
88;CH;60223.0;E;;0;;2.29329;2.06699;0.17413;AZUL;53;0
88;CH;60224.0;E;;0;;1.30667;1.60044;0.162;AMARELO;54;0
88;CH;60225.0;D;;0;;0.78917;1.22871;0.1937;BRANCO;55;0
88;CH;60217.0;D;;0;;0.78346;0.5514;0.37795;ROSA;56;0
88;CH;58531.0;B;;0;;1.6573;1.40928;0.16859;AZUL;69;0
88;CH;58531.0;B;;0;;1.6573;1.40928;0.16859;AMARELO;70;0
